Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	SEA-Q	522130.025500001	1219723.633	SEA-ISTD	0.428070296378544	6.94811264936297	6.91923268106487
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	SEA-ISTD	1219723.633	N/A	N/A	N/A	6.91923268106487	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	2AGE-Q	4948.06419307288	38964.9409528368	2AG-ISTD	0.126987596338514	5.05923428023338	4.64073311359033
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	DEA-Q	7182.29764661028	487275.689875285	OEA-ISTD	0.0147397003294963	5.14431671453474	4.94499963682065
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	DGLEA-Q	12104.9722307218	547786.416164435	LEA-ISTD	0.0220979781051892	4.01584747003039	3.93760989351796
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	O-AEA	56.7515714256752	16048.0164215234	AEA-ISTD	0.00353625032589075	3.21504394782324	3.97741167371197
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	2-LG-Q	30435.1551942908	38964.9409528368	2AG-ISTD	0.78109075620388	4.73361504990316	4.64073311359033
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	1-LG-Q	242745.08514146	38964.9409528368	2AG-ISTD	6.22984609254969	4.96714245958394	4.64073311359033
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	2-OG-Q	92518.4780000003	38964.9409528368	2AG-ISTD	2.97440313619325	5.91242601150898	4.64073311359033
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	1-OG-Q	1070624.70800001	38964.9409528368	2AG-ISTD	27.4766156914209	6.21388274166164	4.64073311359033
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	EPEA-Q	3997.0192862183	547786.416164435	LEA-ISTD	0.00728663429474332	3.93781559512238	3.93760989351796
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	POEA-Q	108583.2015	487275.689875285	OEA-ISTD	0.222837304951106	3.01323465148032	4.94499963682065
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	ETAEA-Q	2493.8012447367	825246.810173583	PEA-ISTD	0.00302915590090059	4.49739064822864	4.48864524687689
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	OAG-Q	560.911499999996	N/A	(No IS)	N/A	6.02796334824758	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	PDEA-Q	50643.9104999999	547786.416164435	LEA-ISTD	0.0924617862097478	3.76623678643576	3.93760989351796
